row_type	K	component	cv_error	delta_cv	pct_improvement	delta2_cv	mean_q_max	median_q_max	qmax_p10	qmax_p25	qmax_p75	qmax_p90	mean_h_norm	median_h_norm	mean_k_eff	median_k_eff	adjacent_mean_parent_corr	adjacent_dominant_nmi	adjacent_dominant_preserved_frac	k_cv_min	k_elbow	k_broad_default	k_fine_default	component_mass_mean_q	component_n_q_ge_0_5	component_n_q_ge_0_2	component_rank_within_k	component_embedding_separability	k_rank	is_broad_or_fine_default	embedding_nmi_max
component	19	12.0																						0.044285325355273	40.0	45.0	7.0	0.9683843183843184	20	0	-1.0
component	19	13.0																						0.0210287427075542	10.0	10.0	17.0		20	0	-1.0
component	19	14.0																						0.0326225093492894	28.0	28.0	12.0	0.8300254452926209	20	0	-1.0
component	19	15.0																						0.0574014053851907	60.0	88.0	5.0	0.9658730158730158	20	0	-1.0
component	19	16.0																						0.0355600665669409	20.0	25.0	9.0	0.9325095057034221	20	0	-1.0
component	19	17.0																						0.0276841376215407	30.0	30.0	13.0	0.973981457108596	20	0	-1.0
component	19	18.0																						0.2760377157816006	236.0	799.0	1.0	0.6921840737093958	20	0	-1.0
component	19	19.0																						0.0633969596110695	20.0	60.0	4.0	0.7266906741906741	20	0	-1.0
k_summary	20		0.64096	0.0022199999999999	0.3451599863179825	-1.0000000000065512e-05	0.5813804338070307	0.486409	0.3079326	0.384496	0.804834	0.99981	0.444267028877837	0.5178489891213371	3.289345793961316	3.1303611235869364	0.9844406725084972	0.8537904574895099	0.827430293896006	30.0	10.0	8.0	15.0						13	0	-1.0
component	20	1.0																						0.0286365542258788	20.0	26.0	12.0	0.9679824688706352	13	0	-1.0
component	20	2.0																						0.0388875086013462	20.0	59.0	7.0	0.9164750957854405	13	0	-1.0
component	20	3.0																						0.0319969349289454	20.0	40.0	9.0	0.8138768757437669	13	0	-1.0
component	20	4.0																						0.0193565459985041	10.0	10.0	18.0		13	0	-1.0
component	20	5.0																						0.0558820800299177	45.0	60.0	4.0	0.8396352774064173	13	0	-1.0
component	20	6.0																						0.0375546634255796	23.0	61.0	8.0	0.9121072171072171	13	0	-1.0
component	20	7.0																						0.1382880875093492	67.0	294.0	2.0	0.5371125952911017	13	0	-1.0
component	20	8.0																						0.013332440538519	10.0	10.0	20.0		13	0	-1.0
component	20	9.0																						0.0308487150336574	28.0	28.0	10.0	0.8300254452926209	13	0	-1.0
component	20	10.0																						0.0828451667913238	61.0	129.0	3.0	0.9087746506464672	13	0	-1.0
component	20	11.0																						0.0166265736724008	10.0	11.0	19.0		13	0	-1.0
component	20	12.0																						0.0252497068062827	20.0	20.0	15.0	0.9924098398432999	13	0	-1.0
